augmented_filename,original_filename,target_class_id
lr_00001_bottom_right_aug_1058_0.jpg,lr_00001_bottom_right.jpg,0
lr_00001_bottom_right_aug_112_0.jpg,lr_00001_bottom_right.jpg,0
lr_00001_bottom_right_aug_1176_0.jpg,lr_00001_bottom_right.jpg,0
lr_00001_bottom_right_aug_284_0.jpg,lr_00001_bottom_right.jpg,0
lr_00001_bottom_right_aug_451_0.jpg,lr_00001_bottom_right.jpg,0
lr_00001_bottom_right_aug_514_0.jpg,lr_00001_bottom_right.jpg,0
lr_00001_bottom_right_aug_515_0.jpg,lr_00001_bottom_right.jpg,0
lr_00002_bottom_right_aug_1076_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_1152_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_1401_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_223_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_341_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_418_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_446_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_518_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_951_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_bottom_right_aug_99_0.jpg,lr_00002_bottom_right.jpg,0
lr_00002_top_right_aug_1218_0.jpg,lr_00002_top_right.jpg,0
lr_00002_top_right_aug_1223_0.jpg,lr_00002_top_right.jpg,0
lr_00002_top_right_aug_137_0.jpg,lr_00002_top_right.jpg,0
lr_00002_top_right_aug_853_0.jpg,lr_00002_top_right.jpg,0
lr_00002_top_right_aug_985_0.jpg,lr_00002_top_right.jpg,0
lr_00004_top_right_aug_290_0.jpg,lr_00004_top_right.jpg,0
lr_00004_top_right_aug_350_0.jpg,lr_00004_top_right.jpg,0
lr_00004_top_right_aug_730_0.jpg,lr_00004_top_right.jpg,0
lr_00004_top_right_aug_775_0.jpg,lr_00004_top_right.jpg,0
lr_00005_top_right_aug_1187_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_1199_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_1250_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_1259_0.jpg,lr_00005_top_right.jpg,0
lr_00005_top_right_aug_1315_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_1364_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_150_0.jpg,lr_00005_top_right.jpg,0
lr_00005_top_right_aug_1589_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_1626_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_1651_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_181_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_349_0.jpg,lr_00005_top_right.jpg,0
lr_00005_top_right_aug_414_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_463_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_486_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_501_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_511_0.jpg,lr_00005_top_right.jpg,0
lr_00005_top_right_aug_511_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_575_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_682_3.jpg,lr_00005_top_right.jpg,3
lr_00005_top_right_aug_893_3.jpg,lr_00005_top_right.jpg,3
lr_00006_top_left_aug_1007_0.jpg,lr_00006_top_left.jpg,0
