# train split manifest — 1708 files
# format: filename  sha256
# ==============================================================================
r180_00369_top_left.jpg  52ba32c06e9ebecf9501bd1d3b9a15004dd9e73edeb7e7267a849efc49b690a3
lr_00044_bottom_left.jpg  662fad308b9f4da295864be49199c809df0b99d4f72342a79b90a14bc008e2eb
r180_00398_bottom_left.jpg  11555d5ee9c63b017814335ab94079c5280e1aeb4b3ddce39a11a2a482281036
lr_00427_top_left.jpg  3e4d9761b7c84f313764755b07eb30a2552ce5ac72cf3e8844ce527729d12a72
tb_00526_bottom_left.jpg  468458bbe453c671f4b177236000ba1840f29f71df2f1b5b7fe982e83115bbd5
lr_00080_bottom_left.jpg  453d061628def42009ccaf6099894c95c61af8f71eb7a048f259550e7c275e1d
lr_00421_top_left.jpg  565d78ff5b178ee945ab212e4b9646b2fd7102710f5037ae2fd3a204e665118f
tb_00067_bottom_left.jpg  47fe52d74a9c5cb26d2cc9a3079523b0d81fc1e6cfa8bd61630dc3c26de6d90e
tb_00427_bottom_right.jpg  a9a1b24b315a1a952d1521d9d057f2dca03e5746e809591c9bd3bb41ace20ec2
tb_00432_bottom_right.jpg  93d2cd2f16c95f73d6ed36754094674883b08036f5c34b8e1f0bc6f4da17ed71
tb_00070_bottom_left.jpg  5663fd616a56f33ed8a624d27416c8b0769d011a81ad9126768bf812c640b9a0
tb_00470_top_right.jpg  bf23149144270bc5842513181e6011c7b88c32a8ff93690b3f5ddb4c24575666
lr_00007_bottom_left.jpg  3446d26e1d873ed46a2fd5da7cf48c9d5639bf9dd2a868a51097e63f7d792c8f
tb_00370_bottom_left.jpg  f863d2df2283b969be235c628b1c54fbce9c055883adf6d47a5526222f906021
r180_00080_top_right.jpg  60e64de83f610af632673b5ff3c2a1628f7d8b22858a3b97e5a41f13fb27990d
r180_00437_top_right.jpg  8f58b5220d9028f4a391991535a10d56ecc6a5248d7d8f78e42c88d0823f4c74
lr_00389_bottom_left.jpg  64e542c79da76658903c9bf1b77b4b55776ccd6ee51b74793ac8c36d521a17e8
tb_00088_bottom_right.jpg  d2ec0943ff0a107cfb632c6c41ead06ace635ba2b02ece31eefe255fb8863dda
lr_00430_top_left.jpg  1038d4027a1946082a79d66586abd730b05dd1cbe51c65ac2b201dc437dc18f9
tb_00017_top_left.jpg  0c0d70cb5e375a299a1df04040709d1abde530b8fec0a76ee491ea85cc8553ff
lr_00523_bottom_right.jpg  8b9a1c4ac80de0381bd4f0fdda98f696cdb7ebc43b60e77d70006f684c4feb0e
lr_00023_bottom_right.jpg  1ce3812cd067c350837955e4a09bc75c76004d28cb7134478b08792530f21281
tb_00499_top_left.jpg  67557388e817338ebea830409d0aa163c94167228d8429c31d081e78b7909d13
r180_00370_top_right.jpg  5c706ccfbf6a4aeb80c92db9f22c4f6b1553c76f57752d2c100eaf41c05c4588
tb_00076_bottom_right.jpg  3151a0926068de66f6ebcfdc13455e690c192e7331745e1a66ee691140f5a16d
r180_00438_top_left.jpg  fb3d08923726a9a70e0f2179f339d4ef46fd171b8b624cef14f320e73fcde1a9
lr_00084_bottom_left.jpg  9cd40a75935e563395bccc2c7a18d9a4f98f4fb8feafdf4cfc6778eca5300b9d
r180_00070_top_right.jpg  8fc8c9824873d905899b0196d401fca8ed0ad2f2947fcb4f7c9dfc57c2c2be2d
tb_00388_bottom_right.jpg  eaa4c1ca0fc7be4ea7886ce43f95ed42598cfa3c736b189cd05392fc46d2a46f
tb_00375_bottom_right.jpg  2c9b98d15e85afc9472d42e0c02310c8099adc8b741e3dc7ba574e2d2447523a
r180_00035_bottom_right.jpg  abe8ecfcbe35e522320e492379c6d016142ae68b1b2f61716a3a1b105fecf907
tb_00009_bottom_left.jpg  b9feaf6b3643ac9e1c15f998ce54dcf4be37d4a0a7b24f4a6a24c40dc0d5a836
